C_size,A_size,log2(nbytes),difficulty,#points,#distinguished_points,log2(#distinguished_points),#collisions,log2(#collisions),#updates,time(sec)
16, 16, 12.321928, 6, 0, 313951, 18.260180, 28300, 14.788514, 1038, 5422.081476
16, 16, 12.321928, 6, 0, 688495, 19.393087, 62472, 15.930922, 2277, 1631.462408
16, 16, 12.321928, 6, 0, 829260, 19.661465, 75193, 16.198311, 2732, 5418.230710
16, 16, 12.321928, 6, 0, 24312, 14.569381, 2293, 11.163021, 79, 31.885392
16, 16, 12.321928, 6, 0, 83800, 16.354663, 7628, 12.897089, 275, 408.742933
16, 16, 12.321928, 6, 0, 61782, 15.914899, 5877, 12.520864, 203, 111.695693
16, 16, 12.321928, 6, 0, 45306, 15.467415, 4422, 12.110483, 148, 54.956735
16, 16, 12.321928, 6, 0, 147123, 17.166663, 13332, 13.702606, 486, 1047.266207
16, 16, 12.321928, 6, 0, 1284516, 20.292793, 116433, 16.829140, 4242, 5711.165955
16, 16, 12.321928, 6, 0, 66136, 16.013148, 5803, 12.502583, 218, 91.136865
16, 16, 12.321928, 6, 0, 63562, 15.955877, 6012, 12.553629, 208, 86.720599
16, 16, 12.321928, 6, 0, 32334, 14.980764, 2809, 11.455841, 107, 86.929199
16, 16, 12.321928, 6, 0, 815, 9.670656, 105, 6.714246, 2, 1.918646
16, 16, 12.321928, 6, 0, 118024, 16.848721, 10951, 13.418775, 390, 184.361147
16, 16, 12.321928, 6, 0, 38694, 15.239822, 3523, 11.782589, 128, 58.628864
16, 16, 12.321928, 6, 0, 33743, 15.042301, 3338, 11.704768, 111, 52.096880
16, 16, 12.321928, 6, 0, 424613, 18.695789, 38640, 15.237807, 1397, 647.441587
16, 16, 12.321928, 6, 0, 39972, 15.286702, 3720, 11.861087, 132, 261.987651
16, 16, 12.321928, 6, 0, 520682, 18.990043, 47189, 15.526163, 1720, 9354.588638
16, 16, 12.321928, 6, 0, 66174, 16.013977, 6076, 12.568906, 218, 750.822059
16, 16, 12.321928, 6, 0, 116618, 16.831431, 10490, 13.356727, 387, 592.909230
16, 16, 12.321928, 6, 0, 779453, 19.572103, 69849, 16.091952, 2566, 1442.411104
16, 16, 12.321928, 6, 0, 255980, 17.965672, 23265, 14.505874, 845, 1074.328451
16, 16, 12.321928, 6, 0, 155992, 17.251113, 14994, 13.872098, 514, 795.654691
16, 16, 12.321928, 6, 0, 59990, 15.872434, 5371, 12.390975, 198, 87.763171
16, 16, 12.321928, 6, 0, 193180, 17.559586, 17619, 14.104844, 636, 749.731016
16, 16, 12.321928, 6, 0, 1407, 10.458407, 117, 6.870365, 4, 5.562339
16, 16, 12.321928, 6, 0, 2166, 11.080818, 252, 7.977280, 6, 5.880454
16, 16, 12.321928, 6, 0, 127952, 16.965243, 11473, 13.485955, 425, 1651.266457
16, 16, 12.321928, 6, 0, 561312, 19.098443, 51421, 15.650070, 1851, 2207.795588
